id,o_id,runs,delivery,extra_type,extras,batsman,bowler,score,for,wicket_ball,inn_id,m_id,t_id,c1,c2,c3,dots,c4,c6,ball_color
43,7,0,6.6,0,0,17,6,56,2,1,1,1,1,0,0,0,1,0,0,y
44,8,1,7.1,0,0,18,11,57,2,0,1,1,1,1,0,0,0,0,0,y
45,8,2,7.2,n,1,19,11,59,2,0,1,1,1,1,0,0,0,0,0,y
46,8,4,7.2,0,0,19,11,63,2,0,1,1,1,0,0,0,0,1,0,y
47,8,0,7.3,0,0,19,11,63,2,0,1,1,1,0,0,0,1,0,0,y
48,8,2,7.4,0,0,19,11,65,2,0,1,1,1,0,1,0,0,0,0,y
49,8,1,7.5,0,0,19,11,66,2,0,1,1,1,1,0,0,0,0,0,y
50,8,1,7.6,0,0,18,11,67,2,0,1,1,1,1,0,0,0,0,0,y
51,9,0,8.1,0,0,18,6,67,2,0,1,1,1,0,0,0,1,0,0,y
52,9,1,8.2,0,0,18,6,68,2,0,1,1,1,1,0,0,0,0,0,y
53,9,1,8.3,0,0,19,6,69,2,0,1,1,1,1,0,0,0,0,0,y
54,9,1,8.4,0,0,18,6,70,2,0,1,1,1,1,0,0,0,0,0,y
55,9,1,8.5,0,0,19,6,71,2,0,1,1,1,1,0,0,0,0,0,y
56,9,0,8.6,0,0,18,6,71,3,1,1,1,1,0,0,0,1,0,0,y
57,10,0,9.1,0,0,19,11,71,3,0,1,1,1,0,0,0,1,0,0,y
58,10,1,9.2,w,1,19,11,72,3,0,1,1,1,0,0,0,0,0,0,y
59,10,1,9.2,0,0,19,11,73,3,0,1,1,1,1,0,0,0,0,0,y
60,10,1,9.3,0,0,20,11,74,3,0,1,1,1,1,0,0,0,0,0,y
61,10,1,9.4,0,0,19,11,75,3,0,1,1,1,1,0,0,0,0,0,y
62,10,0,9.5,0,0,20,11,75,3,0,1,1,1,0,0,0,1,0,0,y
63,10,4,9.6,0,0,20,11,79,3,0,1,1,1,0,0,0,0,1,0,y
64,11,6,10.1,0,0,19,6,85,3,0,1,1,1,0,0,0,0,0,1,y
65,11,1,10.2,0,0,19,6,86,3,0,1,1,1,1,0,0,0,0,0,y
66,11,0,10.3,0,0,20,6,86,3,0,1,1,1,0,0,0,1,0,0,y
67,11,1,10.4,0,0,20,6,87,3,0,1,1,1,1,0,0,0,0,0,y
68,11,1,10.5,0,0,19,6,88,3,0,1,1,1,1,0,0,0,0,0,y
69,11,1,10.6,0,0,20,6,89,3,0,1,1,1,1,0,0,0,0,0,y
70,12,1,11.1,0,0,20,11,90,3,0,1,1,1,1,0,0,0,0,0,y
71,12,4,11.2,0,0,19,11,94,3,0,1,1,1,0,0,0,0,1,0,y
72,12,1,11.3,0,0,19,11,95,3,0,1,1,1,1,0,0,0,0,0,y
73,12,4,11.4,0,0,20,11,99,3,0,1,1,1,0,0,0,0,1,0,y
74,12,1,11.5,0,0,20,11,100,3,0,1,1,1,1,0,0,0,0,0,y
75,12,0,11.6,0,0,19,11,100,3,0,1,1,1,0,0,0,1,0,0,y
76,13,0,12.1,0,0,20,6,100,3,0,1,1,1,0,0,0,1,0,0,y
77,13,1,12.2,0,0,20,6,101,3,0,1,1,1,1,0,0,0,0,0,y
78,13,1,12.3,0,0,19,6,102,3,0,1,1,1,1,0,0,0,0,0,y
79,13,0,12.4,0,0,20,6,102,4,1,1,1,1,0,0,0,1,0,0,y
80,13,0,12.5,0,0,21,6,102,4,0,1,1,1,0,0,0,1,0,0,y
81,13,0,12.6,0,0,21,6,102,4,0,1,1,1,0,0,0,1,0,0,y
82,14,1,13.1,0,0,19,13,103,4,0,1,1,1,1,0,0,0,0,0,y
83,14,0,13.2,0,0,21,13,103,4,0,1,1,1,0,0,0,1,0,0,y
84,14,1,13.3,0,0,21,13,104,4,0,1,1,1,1,0,0,0,0,0,y
85,14,4,13.4,0,0,19,13,108,4,0,1,1,1,0,0,0,0,1,0,y
86,14,1,13.5,0,0,19,13,109,4,0,1,1,1,1,0,0,0,0,0,y
87,14,1,13.6,0,0,21,13,110,4,0,1,1,1,1,0,0,0,0,0,y
88,15,1,14.1,0,0,21,11,111,4,0,1,1,1,1,0,0,0,0,0,y
89,15,1,14.2,0,0,19,11,112,4,0,1,1,1,1,0,0,0,0,0,y
90,15,1,14.3,0,0,21,11,113,4,0,1,1,1,1,0,0,0,0,0,y
91,15,4,14.4,0,0,19,11,117,4,0,1,1,1,0,0,0,0,1,0,y
92,15,4,14.5,0,0,19,11,121,4,0,1,1,1,0,0,0,0,1,0,y
93,15,1,14.6,0,0,19,11,122,4,0,1,1,1,1,0,0,0,0,0,y
94,16,1,15.1,0,0,19,13,123,4,0,1,1,1,1,0,0,0,0,0,y
95,16,2,15.2,0,0,21,13,125,4,0,1,1,1,0,1,0,0,0,0,y
96,16,0,15.3,0,0,21,13,125,4,0,1,1,1,0,0,0,1,0,0,y
97,16,1,15.4,0,0,21,13,126,4,0,1,1,1,1,0,0,0,0,0,y
98,16,1,15.5,0,0,19,13,127,4,0,1,1,1,1,0,0,0,0,0,y
99,16,1,15.6,0,0,21,13,128,4,0,1,1,1,1,0,0,0,0,0,y
100,17,6,16.1,0,0,21,12,134,4,0,1,1,1,0,0,0,0,0,1,y
101,17,0,16.2,0,0,21,12,134,4,0,1,1,1,0,0,0,1,0,0,y
102,17,1,16.3,0,0,21,12,135,4,0,1,1,1,1,0,0,0,0,0,y
103,17,1,16.4,0,0,19,12,136,4,0,1,1,1,1,0,0,0,0,0,y
104,17,1,16.5,0,0,21,12,137,4,0,1,1,1,1,0,0,0,0,0,y
105,17,1,16.6,0,0,19,12,138,4,0,1,1,1,1,0,0,0,0,0,y
106,18,4,17.1,0,0,19,10,142,4,0,1,1,1,0,0,0,0,1,0,y
107,18,0,17.2,0,0,19,10,142,4,0,1,1,1,0,0,0,1,0,0,y
108,18,1,17.3,0,0,19,10,143,4,0,1,1,1,1,0,0,0,0,0,y
109,18,4,17.4,0,0,21,10,147,4,0,1,1,1,0,0,0,0,1,0,y
110,18,4,17.5,0,0,21,10,151,4,0,1,1,1,0,0,0,0,1,0,y
111,18,4,17.6,0,0,21,10,155,4,0,1,1,1,0,0,0,0,1,0,y
112,19,1,18.1,0,0,19,12,156,4,0,1,1,1,1,0,0,0,0,0,y
113,19,0,18.2,0,0,21,12,156,5,1,1,1,1,0,0,0,1,0,0,y
114,19,0,18.3,0,0,22,12,156,5,0,1,1,1,0,0,0,1,0,0,y
115,19,4,18.4,0,0,22,12,160,5,0,1,1,1,0,0,0,0,1,0,y
116,19,6,18.5,0,0,22,12,166,5,0,1,1,1,0,0,0,0,0,1,y
117,19,0,18.6,0,0,22,12,166,5,0,1,1,1,0,0,0,1,0,0,y
118,20,0,19.1,0,0,19,10,166,5,0,1,1,1,0,0,0,1,0,0,y
119,20,0,19.2,0,0,19,10,166,5,0,1,1,1,0,0,0,1,0,0,y
120,20,4,19.3,0,0,19,10,170,5,0,1,1,1,0,0,0,0,1,0,y
121,20,4,19.4,0,0,19,10,174,5,0,1,1,1,0,0,0,0,1,0,y
122,20,4,19.5,0,0,19,10,178,5,0,1,1,1,0,0,0,0,1,0,y
123,20,1,19.6,0,0,19,10,179,5,0,1,1,1,1,0,0,0,0,0,y
124,21,0,0.1,0,0,1,25,0,0,0,2,1,1,0,0,0,1,0,0,y
125,21,0,0.2,0,0,1,25,0,0,0,2,1,1,0,0,0,1,0,0,y
126,21,4,0.3,0,0,1,25,4,0,0,2,1,1,0,0,0,0,1,0,y
127,21,1,0.4,0,0,1,25,5,0,0,2,1,1,1,0,0,0,0,0,y
128,21,4,0.5,0,0,2,25,9,0,0,2,1,1,0,0,0,0,1,0,y
129,21,6,0.6,0,0,2,25,15,0,0,2,1,1,0,0,0,0,0,1,y
130,22,0,1.1,0,0,1,22,15,0,0,2,1,1,0,0,0,1,0,0,y
131,22,0,1.2,0,0,1,22,15,0,0,2,1,1,0,0,0,1,0,0,y
132,22,1,1.3,0,0,1,22,16,0,0,2,1,1,1,0,0,0,0,0,y
133,22,1,1.4,0,0,2,22,17,0,0,2,1,1,1,0,0,0,0,0,y
134,22,0,1.5,0,0,1,22,17,1,1,2,1,1,0,0,0,1,0,0,y
135,22,0,1.6,0,0,3,22,17,1,0,2,1,1,0,0,0,1,0,0,y
136,23,0,2.1,0,0,2,25,17,1,0,2,1,1,0,0,0,1,0,0,y
137,23,0,2.2,0,0,2,25,17,2,1,2,1,1,0,0,0,1,0,0,y
138,23,6,2.3,0,0,4,25,23,2,0,2,1,1,0,0,0,0,0,1,y
139,23,0,2.4,0,0,4,25,23,2,0,2,1,1,0,0,0,1,0,0,y
140,23,1,2.5,0,0,4,25,24,2,0,2,1,1,1,0,0,0,0,0,y
141,23,0,2.6,0,0,3,25,24,2,0,2,1,1,0,0,0,1,0,0,y
142,24,6,3.1,0,0,4,22,30,2,0,2,1,1,0,0,0,0,0,1,y
143,24,0,3.2,0,0,4,22,30,2,0,2,1,1,0,0,0,1,0,0,y
144,24,0,3.3,0,0,4,22,30,2,0,2,1,1,0,0,0,1,0,0,y
145,24,0,3.4,0,0,4,22,30,2,0,2,1,1,0,0,0,1,0,0,y
146,24,1,3.5,0,0,4,22,31,2,0,2,1,1,1,0,0,0,0,0,y
147,24,6,3.6,0,0,3,22,37,2,0,2,1,1,0,0,0,0,0,1,y
148,25,1,4.1,0,0,4,27,38,2,0,2,1,1,1,0,0,0,0,0,y
149,25,0,4.2,0,0,3,27,38,2,0,2,1,1,0,0,0,1,0,0,y
150,25,1,4.3,0,0,3,27,39,2,0,2,1,1,1,0,0,0,0,0,y
151,25,6,4.4,0,0,4,27,45,2,0,2,1,1,0,0,0,0,0,1,y
152,25,1,4.5,0,0,4,27,46,2,0,2,1,1,1,0,0,0,0,0,y
153,25,0,4.6,0,0,3,27,46,2,0,2,1,1,0,0,0,1,0,0,y
154,26,4,5.1,0,0,4,22,50,2,0,2,1,1,0,0,0,0,1,0,y
155,26,0,5.2,0,0,4,22,50,2,0,2,1,1,0,0,0,1,0,0,y
156,26,0,5.3,0,0,4,22,50,2,0,2,1,1,0,0,0,1,0,0,y
157,26,1,5.4,0,0,4,22,51,2,0,2,1,1,1,0,0,0,0,0,y
158,26,1,5.5,0,0,3,22,52,2,0,2,1,1,1,0,0,0,0,0,y
159,26,1,5.6,0,0,4,22,53,2,0,2,1,1,1,0,0,0,0,0,y
160,27,1,6.1,0,0,4,23,54,2,0,2,1,1,1,0,0,0,0,0,y
161,27,4,6.2,0,0,3,23,58,2,0,2,1,1,0,0,0,0,1,0,y
162,27,0,6.3,0,0,3,23,58,2,0,2,1,1,0,0,0,1,0,0,y
163,27,0,6.4,0,0,3,23,58,2,0,2,1,1,0,0,0,1,0,0,y
164,27,1,6.5,0,0,3,23,59,2,0,2,1,1,1,0,0,0,0,0,y
165,27,1,6.6,0,0,4,23,60,2,0,2,1,1,1,0,0,0,0,0,y
166,28,1,7.1,0,0,4,22,61,2,0,2,1,1,1,0,0,0,0,0,y
167,28,0,7.2,0,0,3,22,61,2,0,2,1,1,0,0,0,1,0,0,y
168,28,1,7.3,0,0,3,22,62,2,0,2,1,1,1,0,0,0,0,0,y
169,28,1,7.4,0,0,4,22,63,2,0,2,1,1,1,0,0,0,0,0,y
170,28,1,7.5,0,0,3,22,64,2,0,2,1,1,1,0,0,0,0,0,y
171,28,1,7.6,0,0,4,22,65,2,0,2,1,1,1,0,0,0,0,0,y
172,29,1,8.1,0,0,4,23,66,2,0,2,1,1,1,0,0,0,0,0,y
173,29,4,8.2,0,0,3,23,70,2,0,2,1,1,0,0,0,0,1,0,y
174,29,0,8.3,0,0,3,23,70,2,0,2,1,1,0,0,0,1,0,0,y
175,29,1,8.4,n,1,3,23,71,2,0,2,1,1,0,0,0,1,0,0,y
176,29,0,8.4,0,0,3,23,71,2,0,2,1,1,0,0,0,1,0,0,y
177,29,1,8.5,0,0,3,23,72,2,0,2,1,1,1,0,0,0,0,0,y
178,29,1,8.6,0,0,4,23,73,2,0,2,1,1,1,0,0,0,0,0,y
179,30,0,9.1,0,0,4,24,73,2,0,2,1,1,0,0,0,1,0,0,y
180,30,1,9.2,0,0,4,24,74,2,0,2,1,1,1,0,0,0,0,0,y
181,30,1,9.3,0,0,3,24,75,2,0,2,1,1,1,0,0,0,0,0,y
182,30,1,9.4,0,0,4,24,76,2,0,2,1,1,1,0,0,0,0,0,y
183,30,1,9.5,0,0,3,24,77,2,0,2,1,1,1,0,0,0,0,0,y
184,30,1,9.6,0,0,4,24,78,2,0,2,1,1,1,0,0,0,0,0,y
185,31,1,10.1,0,0,4,23,79,2,0,2,1,1,1,0,0,0,0,0,y
186,31,1,10.2,0,0,3,23,80,2,0,2,1,1,1,0,0,0,0,0,y
187,31,1,10.3,0,0,4,23,81,2,0,2,1,1,1,0,0,0,0,0,y
188,31,1,10.4,0,0,3,23,82,2,0,2,1,1,1,0,0,0,0,0,y
189,31,1,10.5,w,1,4,23,83,2,0,2,1,1,0,0,0,0,0,0,y
190,31,1,10.5,0,0,4,23,84,2,0,2,1,1,1,0,0,0,0,0,y
191,31,0,10.6,0,0,3,23,84,2,0,2,1,1,0,0,0,1,0,0,y
192,32,1,11.1,0,0,4,19,85,2,0,2,1,1,1,0,0,0,0,0,y
193,32,0,11.2,0,0,3,19,85,2,0,2,1,1,0,0,0,1,0,0,y
194,32,1,11.3,0,0,3,19,86,2,0,2,1,1,1,0,0,0,0,0,y
195,32,1,11.4,0,0,4,19,87,2,0,2,1,1,1,0,0,0,0,0,y
196,32,1,11.5,0,0,3,19,88,2,0,2,1,1,1,0,0,0,0,0,y
197,32,1,11.6,0,0,4,19,89,2,0,2,1,1,1,0,0,0,0,0,y
198,33,0,12.1,0,0,4,24,89,2,0,2,1,1,0,0,0,1,0,0,y
199,33,6,12.2,0,0,4,24,95,2,0,2,1,1,0,0,0,0,0,1,y
200,33,4,12.3,0,0,4,24,99,2,0,2,1,1,0,0,0,0,1,0,y
201,33,6,12.4,0,0,4,24,105,2,0,2,1,1,0,0,0,0,0,1,y
202,33,0,12.5,0,0,4,24,105,3,1,2,1,1,0,0,0,1,0,0,y
203,33,0,12.6,0,0,5,24,105,3,0,2,1,1,0,0,0,1,0,0,y
204,34,0,13.1,0,0,3,27,105,3,0,2,1,1,0,0,0,1,0,0,y
205,34,0,13.2,0,0,3,27,105,3,0,2,1,1,0,0,0,1,0,0,y
206,34,1,13.3,0,0,3,27,106,3,0,2,1,1,1,0,0,0,0,0,y
207,34,4,13.4,0,0,5,27,110,3,0,2,1,1,0,0,0,0,1,0,y
208,34,6,13.5,0,0,5,27,116,3,0,2,1,1,0,0,0,0,0,1,y
209,34,3,13.6,n,1,5,27,119,3,0,2,1,1,0,1,0,0,0,0,y
210,34,1,13.6,n,1,5,27,120,3,0,2,1,1,0,0,0,1,0,0,y
211,34,6,13.6,0,0,5,27,126,3,0,2,1,1,0,0,0,0,0,1,y
212,35,1,14.1,0,0,3,23,127,3,0,2,1,1,1,0,0,0,0,0,y
213,35,0,14.2,0,0,5,23,127,3,0,2,1,1,0,0,0,1,0,0,y
214,35,0,14.3,0,0,5,23,127,3,0,2,1,1,0,0,0,1,0,0,y
215,35,1,14.4,0,0,5,23,128,3,0,2,1,1,1,0,0,0,0,0,y
216,35,4,14.5,0,0,3,23,132,3,0,2,1,1,0,0,0,0,1,0,y
217,35,1,14.6,0,0,3,23,133,3,0,2,1,1,1,0,0,0,0,0,y
218,36,0,15.1,0,0,3,25,133,3,0,2,1,1,0,0,0,1,0,0,y
219,36,6,15.2,0,0,3,25,139,3,0,2,1,1,0,0,0,0,0,1,y
220,36,4,15.3,0,0,3,25,143,3,0,2,1,1,0,0,0,0,1,0,y
221,36,1,15.4,0,0,3,25,144,3,0,2,1,1,1,0,0,0,0,0,y
222,36,4,15.5,0,0,5,25,148,3,0,2,1,1,0,0,0,0,1,0,y
223,36,3,15.6,0,0,5,25,151,3,0,2,1,1,0,0,1,0,0,0,y
224,37,6,16.1,0,0,3,24,157,3,0,2,1,1,0,0,0,0,0,1,y
225,37,0,16.2,0,0,3,24,157,3,0,2,1,1,0,0,0,1,0,0,y
226,37,4,16.3,0,0,3,24,161,3,0,2,1,1,0,0,0,0,1,0,y
227,37,6,16.4,0,0,3,24,167,3,0,2,1,1,0,0,0,0,0,1,y
228,37,4,16.5,0,0,3,24,171,3,0,2,1,1,0,0,0,0,1,0,y
229,37,1,16.6,0,0,3,24,172,3,0,2,1,1,1,0,0,0,0,0,y
230,38,4,17.1,0,0,3,25,176,3,0,2,1,1,0,0,0,0,1,0,y
231,38,0,17.2,0,0,3,25,176,3,0,2,1,1,0,0,0,1,0,0,y
232,38,4,17.3,0,0,3,25,180,3,0,2,1,1,0,0,0,0,1,0,y
233,39,1,0.1,0,0,43,89,1,0,0,3,2,1,1,0,0,0,0,0,y
234,39,0,0.2,0,0,44,89,1,0,0,3,2,1,0,0,0,1,0,0,y
235,39,0,0.3,0,0,44,89,1,0,0,3,2,1,0,0,0,1,0,0,y
236,39,1,0.4,0,0,44,89,2,0,0,3,2,1,1,0,0,0,0,0,y
237,39,0,0.5,0,0,43,89,2,1,1,3,2,1,0,0,0,1,0,0,y
238,39,4,0.6,0,0,45,89,6,1,0,3,2,1,0,0,0,0,1,0,y
239,40,0,1.1,0,0,44,91,6,1,0,3,2,1,0,0,0,1,0,0,y
240,40,0,1.2,0,0,44,91,6,1,0,3,2,1,0,0,0,1,0,0,y
241,40,6,1.3,0,0,44,91,12,1,0,3,2,1,0,0,0,0,0,1,y
242,40,6,1.4,0,0,44,91,18,1,0,3,2,1,0,0,0,0,0,1,y
243,40,0,1.5,0,0,44,91,18,1,0,3,2,1,0,0,0,1,0,0,y
244,40,4,1.6,0,0,44,91,22,1,0,3,2,1,0,0,0,0,1,0,y
245,41,4,2.1,0,0,45,89,26,1,0,3,2,1,0,0,0,0,1,0,y
246,41,0,2.2,0,0,45,89,26,1,0,3,2,1,0,0,0,1,0,0,y
247,41,4,2.3,0,0,45,89,30,1,0,3,2,1,0,0,0,0,1,0,y
248,41,0,2.4,0,0,45,89,30,1,0,3,2,1,0,0,0,1,0,0,y
249,41,0,2.5,0,0,45,89,30,1,0,3,2,1,0,0,0,1,0,0,y
250,41,6,2.6,0,0,45,89,36,1,0,3,2,1,0,0,0,0,0,1,y
251,42,0,3.1,0,0,44,91,36,1,0,3,2,1,0,0,0,1,0,0,y
252,42,1,3.2,0,0,44,91,37,1,0,3,2,1,1,0,0,0,0,0,y
253,42,1,3.3,0,0,45,91,38,1,0,3,2,1,1,0,0,0,0,0,y
254,42,0,3.4,0,0,44,91,38,1,0,3,2,1,0,0,0,1,0,0,y
255,42,6,3.5,0,0,44,91,44,1,0,3,2,1,0,0,0,0,0,1,y
256,42,4,3.6,0,0,44,91,48,1,0,3,2,1,0,0,0,0,1,0,y
257,43,0,4.1,0,0,45,93,48,1,0,3,2,1,0,0,0,1,0,0,y
258,43,0,4.2,0,0,45,93,48,1,0,3,2,1,0,0,0,1,0,0,y
259,43,6,4.3,0,0,45,93,54,1,0,3,2,1,0,0,0,0,0,1,y
260,43,0,4.4,0,0,45,93,54,1,0,3,2,1,0,0,0,1,0,0,y
261,43,4,4.5,0,0,45,93,58,1,0,3,2,1,0,0,0,0,1,0,y
262,43,1,4.6,0,0,45,93,59,1,0,3,2,1,1,0,0,0,0,0,y
263,44,1,5.1,0,0,45,87,60,1,0,3,2,1,1,0,0,0,0,0,y
264,44,0,5.2,0,0,44,87,60,2,1,3,2,1,0,0,0,1,0,0,y
265,44,0,5.3,0,0,46,87,60,2,0,3,2,1,0,0,0,1,0,0,y
266,44,0,5.4,0,0,46,87,60,2,0,3,2,1,0,0,0,1,0,0,y
267,44,1,5.5,0,0,46,87,61,2,0,3,2,1,1,0,0,0,0,0,y
268,44,0,5.6,0,0,45,87,61,2,0,3,2,1,0,0,0,1,0,0,y
269,45,1,6.1,0,0,46,92,62,2,0,3,2,1,1,0,0,0,0,0,y
270,45,1,6.2,0,0,45,92,63,2,0,3,2,1,1,0,0,0,0,0,y
271,45,1,6.3,0,0,46,92,64,2,0,3,2,1,1,0,0,0,0,0,y
272,45,1,6.4,0,0,45,92,65,2,0,3,2,1,1,0,0,0,0,0,y
273,45,1,6.5,0,0,46,92,66,2,0,3,2,1,1,0,0,0,0,0,y
274,45,1,6.6,0,0,45,92,67,2,0,3,2,1,1,0,0,0,0,0,y
275,46,0,7.1,0,0,45,87,67,2,0,3,2,1,0,0,0,1,0,0,y
276,46,1,7.2,0,0,45,87,68,2,0,3,2,1,1,0,0,0,0,0,y
277,46,1,7.3,w,1,46,87,69,2,0,3,2,1,0,0,0,0,0,0,y
278,46,4,7.3,0,0,46,87,73,2,0,3,2,1,0,0,0,0,1,0,y
279,46,1,7.4,0,0,46,87,74,2,0,3,2,1,1,0,0,0,0,0,y
280,46,1,7.5,0,0,45,87,75,2,0,3,2,1,1,0,0,0,0,0,y
281,46,6,7.6,0,0,46,87,81,2,0,3,2,1,0,0,0,0,0,1,y
282,47,1,8.1,0,0,45,92,82,2,0,3,2,1,1,0,0,0,0,0,y
283,47,1,8.2,0,0,46,92,83,2,0,3,2,1,1,0,0,0,0,0,y
284,47,1,8.3,0,0,45,92,84,2,0,3,2,1,1,0,0,0,0,0,y
285,47,1,8.4,0,0,46,92,85,2,0,3,2,1,1,0,0,0,0,0,y
286,47,1,8.5,0,0,45,92,86,2,0,3,2,1,1,0,0,0,0,0,y
287,47,1,8.6,0,0,46,92,87,2,0,3,2,1,1,0,0,0,0,0,y
288,48,6,9.1,0,0,46,93,93,2,0,3,2,1,0,0,0,0,0,1,y
289,48,1,9.2,0,0,46,93,94,2,0,3,2,1,1,0,0,0,0,0,y
290,48,0,9.3,0,0,45,93,94,2,0,3,2,1,0,0,0,1,0,0,y
291,48,0,9.4,0,0,45,93,94,2,0,3,2,1,0,0,0,1,0,0,y
292,48,1,9.5,0,0,45,93,95,2,0,3,2,1,1,0,0,0,0,0,y
293,48,4,9.6,0,0,46,93,99,2,0,3,2,1,0,0,0,0,1,0,y
294,49,1,10.1,0,0,45,92,100,2,0,3,2,1,1,0,0,0,0,0,y
295,49,1,10.2,0,0,46,92,101,2,0,3,2,1,1,0,0,0,0,0,y
296,49,1,10.3,0,0,45,92,102,2,0,3,2,1,1,0,0,0,0,0,y
297,49,1,10.4,0,0,46,92,103,2,0,3,2,1,1,0,0,0,0,0,y
298,49,4,10.5,0,0,45,92,107,2,0,3,2,1,0,0,0,0,1,0,y
299,49,0,10.6,0,0,45,92,107,2,0,3,2,1,0,0,0,1,0,0,y
300,50,4,11.1,0,0,46,94,111,2,0,3,2,1,0,0,0,0,1,0,y
301,50,0,11.2,0,0,46,94,111,2,0,3,2,1,0,0,0,1,0,0,y
302,50,1,11.3,0,0,46,94,112,2,0,3,2,1,1,0,0,0,0,0,y
303,50,1,11.4,0,0,45,94,113,2,0,3,2,1,1,0,0,0,0,0,y
304,50,4,11.5,0,0,46,94,117,2,0,3,2,1,0,0,0,0,1,0,y
305,50,1,11.6,0,0,46,94,118,2,0,3,2,1,1,0,0,0,0,0,y
306,51,1,12.1,0,0,46,92,119,2,0,3,2,1,1,0,0,0,0,0,y
307,51,1,12.2,0,0,45,92,120,2,0,3,2,1,1,0,0,0,0,0,y
308,51,1,12.3,0,0,46,92,121,2,0,3,2,1,1,0,0,0,0,0,y
309,51,1,12.4,0,0,45,92,122,2,0,3,2,1,1,0,0,0,0,0,y
310,51,0,12.5,0,0,46,92,122,2,0,3,2,1,0,0,0,1,0,0,y
311,51,0,12.6,0,0,46,92,122,2,0,3,2,1,0,0,0,1,0,0,y
312,52,1,13.1,0,0,45,93,123,2,0,3,2,1,1,0,0,0,0,0,y
313,52,1,13.2,0,0,46,93,124,2,0,3,2,1,1,0,0,0,0,0,y
314,52,4,13.3,0,0,45,93,128,2,0,3,2,1,0,0,0,0,1,0,y
